User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
StCyrlyMe2,Henderson Nv,"Another thing you may not no with your stupid ass #JaredKushner is the majority #Blacks were #Republican 
including… https://t.co/M2vSICJ7v1",17662,16097,215500,2/26/2009 21:41,10/27/2020 4:00,3,"[{'text': 'JaredKushner', 'indices': [50, 63]}, {'text': 'Blacks', 'indices': [80, 87]}, {'text': 'Republican', 'indices': [93, 104]}]"
FulanoD60419270,Los Angeles ,@Nicole83413562 @realDonaldTrump Oh look a #BOT 👆You understand @realDonaldTrump @GOP is gonna lose right? Make sur… https://t.co/DuzepRwSI2,339,12,601,7/14/2020 19:50,10/27/2020 4:00,0,"[{'text': 'BOT', 'indices': [43, 47]}]"
BGrinny911,"Oregon, USA","@IOHK_Charles This was great. 

#Politics #Democrat #Republican",221,96,829,7/3/2019 13:35,10/27/2020 3:59,0,"[{'text': 'Politics', 'indices': [32, 41]}, {'text': 'Democrat', 'indices': [42, 51]}, {'text': 'Republican', 'indices': [52, 63]}]"
A_SportsGal,Bay Area,@MaddowBlog @maddow It’s coming &amp; it’s going to be more than the GOP expects. They have truly damaged the… https://t.co/bwXmoYndoc,119,62,3269,4/8/2016 17:23,10/27/2020 3:58,0,[]
diet__emo,🌈 ,this is the weekly prompt. hope you enjoy! you can submit your responses in the link below. the deadline is 11/2 :)… https://t.co/qhaGr17Oyn,113,17,42,6/23/2020 17:01,10/27/2020 3:58,0,[]
AfricaInsights,South Africa,@AOC @GOP @SenateGOP #SusanCollins is the only @SenateGOP #Republican to break party lines and vote against for… https://t.co/tabkhEisZ0,1688,4202,35084,5/22/2012 9:42,10/27/2020 3:58,0,"[{'text': 'SusanCollins', 'indices': [21, 34]}, {'text': 'Republican', 'indices': [58, 69]}]"
Fibognocchi,,"@GOP 
Barry Goldwater was the #Republican candidate for President in 1964. He was considered a right wing extremist… https://t.co/vdRKxN2hYh",400,70,11316,11/28/2010 19:13,10/27/2020 3:58,0,"[{'text': 'Republican', 'indices': [30, 41]}]"
JLightbearer,United States,"@CoriBush NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov 3rd
To UNSEAT… https://t.co/LO6TgqdcrV",419,101,5952,12/1/2016 14:03,10/27/2020 3:58,0,"[{'text': 'Republican', 'indices': [37, 48]}]"
polls_unbiased,United States,"@PatRoberts @RogerMarshallMD Election Poll: Who would you vote for in the Senate election, currently held by Republ… https://t.co/OkYBlJ5rcx",5417,5758,5586,5/13/2020 3:41,10/27/2020 3:56,2,[]
eppylover,"GrandeVille, Meshugan! (MI) ","°°°
To our extended family (descendants of FDR Dems), @JoeBiden is so very much like a #Republican from back in the… https://t.co/64aiiowjDM",1867,979,62318,7/7/2009 18:52,10/27/2020 3:56,0,"[{'text': 'Republican', 'indices': [87, 98]}]"
MyBrotherSteve,"Woodland, CA near Davis n Sac","@EWErickson @jim_newell Don't be a twit, Erick. 

You know full well that many people don't have transportation to… https://t.co/BLytbzC0D4",51,20,1071,12/18/2008 22:17,10/27/2020 3:52,0,[]
snsmkr,That blue planet in the Solar system.,The #RoseGardenMassacre that got #God to bless #Trump with #covid19... is coming to a #republican rally near you.… https://t.co/CIDg0vj6KV,585,328,1759,11/5/2016 21:55,10/27/2020 3:51,0,"[{'text': 'RoseGardenMassacre', 'indices': [4, 23]}, {'text': 'God', 'indices': [33, 37]}, {'text': 'Trump', 'indices': [47, 53]}, {'text': 'covid19', 'indices': [59, 67]}, {'text': 'republican', 'indices': [86, 97]}]"
MyBrotherSteve,"Woodland, CA near Davis n Sac","@ThomasjBombadil @EWErickson If you #VOTE and your #ballot is #postmarked on #ElectionDay, then you DID vote by ELE… https://t.co/Y116XzpTUK",51,20,1071,12/18/2008 22:17,10/27/2020 3:47,0,"[{'text': 'VOTE', 'indices': [36, 41]}, {'text': 'ballot', 'indices': [51, 58]}, {'text': 'postmarked', 'indices': [62, 73]}, {'text': 'ElectionDay', 'indices': [77, 89]}]"
sweeneymcqueen,Santa Monica,@HouseGOP The #Republican party goes wild over a non-partisan Associate Justice position. #InjusticeBarrett,626,279,11451,2/12/2009 5:26,10/27/2020 3:47,0,"[{'text': 'Republican', 'indices': [14, 25]}, {'text': 'InjusticeBarrett', 'indices': [90, 107]}]"
cmcallihan,USA,Enlarging the Supreme Court is the only answer to #Republican  judicial radicalism https://t.co/KZKMeP0i5y,1276,898,22730,4/10/2010 14:52,10/27/2020 3:44,0,"[{'text': 'Republican', 'indices': [50, 61]}]"
mcedano809,"Boca Raton, FL","Curious/ ¿Who you got?🦅🇺🇸
#Trump #Biden #Election2020 #Elecciones2020 #Republican #redwave #Democrat #bluewave #poll #polls #red #blue",960,661,8520,4/17/2011 21:13,10/27/2020 3:43,0,"[{'text': 'Trump', 'indices': [26, 32]}, {'text': 'Biden', 'indices': [33, 39]}, {'text': 'Election2020', 'indices': [40, 53]}, {'text': 'Elecciones2020', 'indices': [54, 69]}, {'text': 'Republican', 'indices': [70, 81]}, {'text': 'redwave', 'indices': [82, 90]}, {'text': 'Democrat', 'indices': [91, 100]}, {'text': 'bluewave', 'indices': [101, 110]}, {'text': 'poll', 'indices': [111, 116]}, {'text': 'polls', 'indices': [117, 123]}, {'text': 'red', 'indices': [124, 128]}, {'text': 'blue', 'indices': [129, 134]}]"
end_the_gop,,I am a proud American who hates everything that the current @GOP stands for. They are a dying shadow left behind by… https://t.co/U4OHgvQ5A8,3,0,11,10/27/2020 3:28,10/27/2020 3:39,0,[]
NHL_Campbell,Ontario,In preparation for a #Trump win I’m sticking needles in my eyeballs so it won’t hurt so bad. While @POTUS yells abo… https://t.co/cv0U6eQMpn,904,4179,63868,1/8/2013 3:17,10/27/2020 3:38,0,"[{'text': 'Trump', 'indices': [21, 27]}]"
ChrisFuentesGOP,California,"Thank you @GavinNewsom for single handedly turning more and more in California #Republican 
#redpill 
#conservative… https://t.co/wj0mqpZW4f",81,56,458,9/21/2011 18:10,10/27/2020 3:38,0,"[{'text': 'Republican', 'indices': [79, 90]}, {'text': 'redpill', 'indices': [92, 100]}, {'text': 'conservative', 'indices': [102, 115]}]"
Ballajazzy,,i no longer want to be lesbian . i’m trying to raise money to go to conversion therapy. please donate $mclovinjazzy… https://t.co/HRLVqH36vu,440,293,5292,6/20/2017 2:08,10/27/2020 3:37,1,[]
news_lnc,"Wichita, KS","@KSNNews NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov 3rd
To UNSEAT… https://t.co/4gtXwu29Ln",124,477,1804,7/26/2018 19:32,10/27/2020 3:32,0,"[{'text': 'Republican', 'indices': [36, 47]}]"
jakki2004,"#Kindness, Connecticut ",Sounds #republican doesnt it. T rump would give the starving...cake. How white of him. https://t.co/om9SuHgh8O,41599,47837,294566,1/28/2012 3:19,10/27/2020 3:32,0,"[{'text': 'republican', 'indices': [7, 18]}]"
MyBrotherSteve,"Woodland, CA near Davis n Sac","@ReallyAmerican1 @jcs2 We've known for YEARS how two-faced they are.... 

This only PROVES what most of us know.… https://t.co/fgLfzmMPWR",51,20,1071,12/18/2008 22:17,10/27/2020 3:31,1,[]
news_lnc,"Wichita, KS","@KAKEnews NOW is the TIME to END the
#Republican Regime of CHAOS

✍ Write Us In TODAY -Nov 3rd
To UNSEAT… https://t.co/KkG0Ri2F1G",124,477,1804,7/26/2018 19:32,10/27/2020 3:30,0,"[{'text': 'Republican', 'indices': [37, 48]}]"
StuartEFagan,"Illinois, USA","The Honorable Clarence Thomas, who was appointed by a #Republican president, is our country’s longest serving Supre… https://t.co/4S6hbGssAA",299,192,2532,9/30/2009 18:20,10/27/2020 3:30,0,"[{'text': 'Republican', 'indices': [54, 65]}]"
rv121,San Francisco,Vote all of these #republican ass hats out of office. They do not represent you. https://t.co/Kype2HfRgm,190,372,2498,2/1/2009 0:35,10/27/2020 3:30,0,"[{'text': 'republican', 'indices': [18, 29]}]"
