User,Location,Tweet,Num of Friend,Num of Followers,Total Tweets by user,Account Created at,Tweet Created at,Num of Retweet,hashtags in the tweet
PoliticsPollss,,"Do you think Joe Biden is or is not fit to be the US President?
#DonaldTrump #Election2020 #ElectionDay #Politics #Twitter #Poll",5280,4855,3629,5/14/2017 20:12,10/27/2020 18:21,6,"[{'text': 'DonaldTrump', 'indices': [64, 76]}, {'text': 'Election2020', 'indices': [77, 90]}, {'text': 'ElectionDay', 'indices': [91, 103]}, {'text': 'Politics', 'indices': [104, 113]}, {'text': 'Twitter', 'indices': [114, 122]}, {'text': 'Poll', 'indices': [123, 128]}]"
Netsbridge,"Space City, Lone Star State",@waldoiswhere @washingtonpost Perhaps #DonaldTruml intends to infest #AmyConeyBarrett w/ #Coronavirus. Unbeknownst… https://t.co/3DZlVL1mbz,103,322,22482,10/19/2009 0:51,10/27/2020 18:20,0,"[{'text': 'DonaldTruml', 'indices': [38, 50]}, {'text': 'AmyConeyBarrett', 'indices': [69, 85]}, {'text': 'Coronavirus', 'indices': [89, 101]}]"
TheWholeN9nes,The Rotten Apple,"#RuthRosner, said that of all the eras she lived through, including both World Wars, this one feels like the most i… https://t.co/6W267Tyjtt",5000,1709,78810,3/23/2011 3:32,10/27/2020 18:20,0,"[{'text': 'RuthRosner', 'indices': [0, 11]}]"
thejoshuablog,new york city,Via JoshTPM: See the Corrupt Court for What It Is https://t.co/OdwmBvMPNE | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [76, 85]}, {'text': 'trump', 'indices': [86, 92]}, {'text': 'elections', 'indices': [93, 103]}]"
thejoshuablog,new york city,Via JoshTPM: Where Things Stand: All The Indication We Needed https://t.co/EQDwKjVlcx | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [88, 97]}, {'text': 'trump', 'indices': [98, 104]}, {'text': 'elections', 'indices': [105, 115]}]"
thejoshuablog,new york city,Via JoshTPM: Where Things Stand: All But Certain https://t.co/AuQdMzOiOe | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [75, 84]}, {'text': 'trump', 'indices': [85, 91]}, {'text': 'elections', 'indices': [92, 102]}]"
thejoshuablog,new york city,Via JoshTPM: Facebook Generates Extremism for Society and Profits for Investors https://t.co/uGnpoef1Xk | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [106, 115]}, {'text': 'trump', 'indices': [116, 122]}, {'text': 'elections', 'indices': [123, 133]}]"
thejoshuablog,new york city,Via JoshTPM: Where Things Stand: Trump Reignites War On Civil Servants https://t.co/bOdz33gXbd | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [97, 106]}, {'text': 'trump', 'indices': [107, 113]}, {'text': 'elections', 'indices': [114, 124]}]"
thejoshuablog,new york city,Via JoshTPM: Quick Take https://t.co/zHOdcKmEtB | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [50, 59]}, {'text': 'trump', 'indices': [60, 66]}, {'text': 'elections', 'indices': [67, 77]}]"
thejoshuablog,new york city,Via JoshTPM: The Last Clash Debate Blogging https://t.co/8zFKWLFRn2 | #politics #trump #elections,2796,6611,484541,6/20/2008 18:32,10/27/2020 18:18,0,"[{'text': 'politics', 'indices': [70, 79]}, {'text': 'trump', 'indices': [80, 86]}, {'text': 'elections', 'indices': [87, 97]}]"
